子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4参数2	[完成条件]4复杂参数	[完成条件]4次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	加载队伍技能组	独占情境ID	CoopPointID	刷新是否限定单机	关卡映射
48601	486	1				1	1	39604	3		1	1020204	3		47	2								6	1113																										2		1419		3	1	2				1																											1419,141901									
48602	486	2					1	48601	3															2	48602																										2		1419		3	1	2																															1419,141901									
48603	486	3					1	48602	3															2	48603																										2		10030		3	2	2				1																											10030,1465									
48604	486	4					1	48603	3															6	1114																										1		Q48610Kaeya		3	4	2				1																											1006,1008,1431,10004,10031						1012003			
48605	486	5			1		1	48604	3															2	48605																																																															1431,10004,10031									
48606	486	6					1	48605	3															6	1116																										1		Q48607Qin		1004	4	2				1																											1006,1008,1431,10004,10031						1012001			
48607	486	7			1		1	48606	3															2	48607																																																															1006,1008,1431,10004,10031						1012001			
48608	486	8					1	48607	3															2	48608																										2		1008		1008	2	2				1																											1006,1008									
48609	486	9					1	48608	3															6	1115																										1		Q48610Kaeya		3	4	2				1																											1004,1008									
48610	486	10			1		1	48609	3															2	48610																																		1																													1004									
48611	486	11					1	48610	3														2	2	48701				2	48713																					2		10031		3	2	2				1																																				
48612	486	12					1	48610	3															2	48800																										2		10030		3	2	2				1																																				
48613	486	13					1	48610	3															2	48901																										2		1419		3	2	2				1																																				
48616	486	14			1		1	48610	3														2	2	48710				2	48703																					2		10031		3	2	2				1																																				
48617	486	15			1		1	48610	3															2	48803																										2		10030		3	2	2				1																																				
48618	486	16			1		1	48610	3														2	2	48905				2	48906																					2		1419		3	2	2				1																																				
48614	486	17			1		1	48610	3															4	48614																																				1																																				
48619	486	18				1	1	48611	3		1	48612	3		1	48613	3							4	48619																																				1																																				
48615	486	19			1	1	1	48616	3		1	48617	3		1	48618	3							4	48615																																				1																																				
48701	487	1					1	48610	3														2	2	48701				2	48713																					2		10031		3	2	2				1	100084	5																			19	3	133004910,6				1431,1001									
48711	487	2					1	48701	3														2	2	48711				2	48701			4	48711			2	48713													2		10031		3	2	2				1																					19	3	133004910,6				1431,1001									
48702	487	3		1			1	48711	3														2	2	48702				20		13300491001	1	4	48702								2	8	48702			17	1009			2		10031		3	2	2																14	48711		32						19	3	133004910,1	31	0		1431,1001				QuestAbility_Player_FindCatQin_48702					
48704	487	4			1		1	48711	3															6	1145																																																																								
48705	487	5			1		1	48711	3															20			133004910	1																																				19	3	133004910,6																															
48706	487	6			1		1	48705	3															2	48705																																							19	3	133004910,2																															
48707	487	7			1		1	48706	3															20			133004910	1																																				19	3	133004910,3																															
48708	487	8			1		1	48707	3															20			133004910	1																																				19	3	133004910,4																															
48709	487	9			1		1	48708	3															20			133004910	1																																				19	3	133004910,5																															
48712	487	10			1		1	48709	3															2	48712																																																																								
