ID,效果JSON文件,[技能费用]1类型,[技能费用]1值,[技能费用]2类型,[技能费用]2值,[技能标签列表]1,[技能标签列表]2,使用后获得充能,阻塞技能AI的卡牌ID,技能是否隐藏,隐藏横幅提示,阻塞技能AI的卡牌列表,阻塞技能AI的卡牌数量,阻塞技能AI的召唤物数,此技能不计AI技能次数,统计伤害
10,_Global_LifeAsShield,,,,,,,,,,,,,,,
11,_Global_ShieldAsShield,,,,,,,,,,,,,,,
12,_Global_ShieldAsShield_Once,,,,,,,,,,,,,,,
13,_Global_LifeAsShield_Once,,,,,,,,,,,,,,,
14,_Global_LifeAsShield_Once_Least2,,,,,,,,,,,,,,,
15,_Global_LifeAsShield_Once_Least3,,,,,,,,,,,,,,,
51,_Attached_ShieldAsShield,,,,,,,,,,,,,,,
52,_Attached_LifeAsShield_Once_Per2,,,,,,,,,,,,,,,
53,_Attached_InfinityShield,,,,,,,,,,,,,,,
54,_Attached_InfinityShield_Per2,,,,,,,,,,,,,,,
55,_Attached_InfinityShield_Per1,,,,,,,,,,,,,,,
56,_Attached_LifeAsShield_Once,,,,,,,,,,,,,,,
57,_Attached_LifeAsShield,,,,,,,,,,,,,,,
201,_Attached_InfinityShield_Ice,,,,,,,,,,,,,,,
202,_Attached_InfinityShield_Water,,,,,,,,,,,,,,,
203,_Attached_InfinityShield_Fire,,,,,,,,,,,,,,,
204,_Attached_InfinityShield_Elec,,,,,,,,,,,,,,,
205,_Attached_InfinityShield_Wind,,,,,,,,,,,,,,,
206,_Attached_InfinityShield_Rock,,,,,,,,,,,,,,,
207,_Attached_InfinityShield_Grass,,,,,,,,,,,,,,,
61,Effect_Enchant_Limit_Ice,,,,,,,,,,,,,,,
62,Effect_Enchant_Limit_Water,,,,,,,,,,,,,,,
63,Effect_Enchant_Limit_Fire,,,,,,,,,,,,,,,
64,Effect_Enchant_Limit_Elec,,,,,,,,,,,,,,,
65,Effect_Enchant_Limit_Wind,,,,,,,,,,,,,,,
66,Effect_Enchant_Limit_Rock,,,,,,,,,,,,,,,
67,Effect_Enchant_Limit_Grass,,,,,,,,,,,,,,,
71,Effect_Fix_Void_2,,,,,,,0,,,,,,,,
72,Effect_Fix_Void_3,,,,,,,0,,,,,,,,
73,Effect_Fix_Void_5,,,,,,,0,,,,,,,,
74,Effect_Fix_Void_5,,,,,,,0,,,,,,,,
75,Effect_Fix_Paimon_2,,,,,,,0,,,,,,,,
76,Effect_Fix_Paimon_2,,,,,,,0,,,,,,,,
80,Effect_Damage_Physic_10,,,,,,,,,,,,,,,
81,Effect_Enchant_Ice,,,,,,,,,,,,,,,
82,Effect_Enchant_Water,,,,,,,,,,,,,,,
83,Effect_Enchant_Fire,,,,,,,,,,,,,,,
84,Effect_Enchant_Elec,,,,,,,,,,,,,,,
85,Effect_Enchant_Wind,,,,,,,,,,,,,,,
86,Effect_Enchant_Rock,,,,,,,,,,,,,,,
