ID,增长ID,属性1,属性2,属性3
1,101,10,10,5
2,102,10,5,5
3,110,10,5,35
4,110,10,35,5
5,120,10,10,10
6,103,10,30,5
7,110,35,10,5
8,130,10,10,10
9,104,25,10,10
10,105,25,15,5
11,105,25,10,10
12,105,25,15,5
13,105,25,10,10
14,105,25,15,5
15,105,25,10,10
16,105,25,15,5
17,105,25,10,10
18,140,10,10,10
19,105,25,10,10
20,105,25,15,5
21,106,15,15,5
22,106,15,5,15
23,106,15,15,5
24,106,5,15,15
25,106,5,15,15
26,201,5,5,5
27,210,40,10,5
28,205,10,25,10
29,210,5,40,10
30,220,10,10,10
31,205,5,25,15
32,210,5,10,40
33,230,10,10,10
34,205,10,25,10
35,205,5,25,15
36,206,5,15,15
37,206,5,15,15
38,206,5,15,15
39,206,15,15,5
40,206,15,15,5
41,301,5,5,5
42,305,15,5,25
43,310,10,5,40
44,305,15,5,25
45,320,10,10,10
46,310,40,5,10
47,305,10,10,25
48,330,10,10,10
49,305,10,10,25
50,305,15,5,25
51,306,15,5,15
52,306,15,5,15
53,306,15,5,15
54,306,5,15,15
55,306,15,15,5
56,999,0,0,0
